0			10			0			0
1			12			0			0
2			14			0			0
3			16			0			0
4			19			0			0
5			22			0			0
6			26			0			0
7			31			0			0
8			37			0			0
9			44			0			0
10			52			0			0
11			62			0			7
12			74			0			0
13			88			0			0
14			105			7			0
15			126			15			15
16			151			23			16
17			181			39			32
18			217			79			48
19			260			128			97
20			312			252			151
21			374			391			276
22			448			665			499
23			537			1132			868
24			644			1961			1530
25			772			2440			1600
26			926			3497			2812
27			1111			6173			4947
28			1333			10569			8741
29			1599			18288			15115
30			1918			32040			26422
31			2301			54955			46868
