0			10			0			0
1			12			0			0
2			14			0			0
3			16			0			0
4			19			0			0
5			22			0			0
6			26			0			0
7			31			0			0
8			37			0			0
9			44			0			0
10			52			0			0
11			62			0			0
12			74			0			0
13			88			0			0
14			105			7			0
15			126			0			0
16			151			8			0
17			181			23			8
18			217			26			8
19			260			55			16
20			312			88			39
21			374			180			88
22			448			274			92
23			537			431			141
24			644			740			254
25			772			1286			423
26			926			2135			722
27			1111			3696			1232
28			1333			6412			2154
29			1599			11153			3737
30			1918			19789			6948
31			2301			34491			11452
